model,actual_sparsity_saved,latency_seconds,Saved-mcc,Baseline_MCC,Relative_MCC_Drop,Allowed_Drop,initial_parameters,parameters_final
Ereno_Architecture1_sparsity_0.55.pt,0.56,0.00003524,0.6427535152731506,0.5930718802963831,-0.083770006009962,0.02,837,32
Ereno_Architecture2_sparsity_0.43.pt,0.43,0.00010400,0.7154846095707672,0.6673930955519332,-0.07205875268916655,0.02,11226,125
Ereno_Architecture3_sparsity_0.32.pt,0.32,0.00015613,0.7304810694171222,0.7234655246930757,-0.00969713757545367,0.02,30712,308
Ereno_Architecture4_sparsity_0.80.pt,0.82,0.00020997,0.4950128313675945,0.4196282794732858,-0.17964602383073613,0.02,128129,399
