model,actual_sparsity_saved,latency_seconds,Saved-mcc,Baseline_MCC,Relative_MCC_Drop,Allowed_Drop,initial_parameters,parameters_final
Ereno_Architecture1_sparsity_0.55.pt,0.56,0.00002999,0.7814212181744947,0.8112071691300174,0.036718056852809614,0.07,933,41
Ereno_Architecture2_sparsity_0.52.pt,0.53,0.00007127,0.7930963623567499,0.8491908903878526,0.06605644109710426,0.07,11695,185
Ereno_Architecture3_sparsity_0.75.pt,0.77,0.00009587,0.7805575177162081,0.8262845285860668,0.05534051442074868,0.07,32321,195
Ereno_Architecture4_sparsity_0.48.pt,0.49,0.00067205,0.8247615270821583,0.8173505399642649,-0.009067085363664733,0.07,120689,1167
