model,actual_sparsity_saved,latency_seconds,Saved-mcc,Baseline_MCC,Relative_MCC_Drop,Allowed_Drop,initial_parameters,parameters_final
Ereno_Architecture1_sparsity_0.80.pt,0.8,0.00004333,0.9041681996409532,0.9131406394301153,0.009825912243662385,0.07,1061,53
Ereno_Architecture2_sparsity_0.70.pt,0.7,0.00008003,0.9026111485014816,0.9158151823872068,0.014417793174499429,0.07,12673,113
Ereno_Architecture3_sparsity_0.62.pt,0.63,0.00014033,0.910025678488933,0.9450585341203814,0.03706950878344848,0.07,31482,382
Ereno_Architecture4_sparsity_0.65.pt,0.65,0.00053114,0.8792017012729747,0.9218052101047796,0.04621747454319792,0.07,129921,549
